人格ID,人格名称,Emoji组合,人格代码,描述,服饰,神态,心情,配色方案,配图提示词
1,雪球人柱力,🦁💥✊👊🏆,AAAAB,对雪球有着近乎执念的信仰，必飞雪球,红色武士铠甲，身背巨大雪球,狂热癫狂，眼神执着,狂热执着,#FF4444,#FFFFFF,#FFCC00,亚索化身雪球战士，身穿红色低多边形武士铠甲，身背巨大白色雪球，做出向前冲刺的姿势，双手紧握雪球，眼神狂热癫狂，表情执着坚定，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色红白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
2,墙角泽拉斯,🐹🔒💰🎯🏆,BBBAB,蹲墙角专业户，永远躲在地图最远角落POKE,蓝色法师长袍，手持长法杖,阴郁专注，眯眼瞄准,阴郁专注,#4444FF,#9966FF,#000000,亚索蹲在墙角，身穿蓝色低多边形法师长袍，手持长法杖做出瞄准姿势，眼睛眯起专注瞄准远方，表情阴郁冷静，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色蓝紫配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
3,乐子人,🦁💥✊👊😂,AAAAB,只图快乐，输赢无所谓,紫色炫酷时装，手持小丑面具,嬉皮笑脸，眼神轻松,轻松愉悦,#FF66FF,#FFCC00,#FFFFFF,亚索化身快乐小丑，身穿紫色低多边形炫酷时装，左手举起小丑面具，右手做出V字手势，表情嬉皮笑脸，眼神轻松愉悦，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色紫黄配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
4,收集者K头狗,🐹🔒💰🎯😂,BBBAB,K头专业户，收集者装备是标配,金色猎人装束，腰挎K头战利品,狡黠得意，眼神闪亮,狡黠得意,#FFCC00,#FF9900,#FFFFFF,亚索化身K头猎人，身穿金色低多边形猎人装束，腰间挂着多个金色K头战利品，右手做出收割动作，表情狡黠得意，眼神闪亮贪婪，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色金黄配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
5,开团工具人,🦁🔒✊👊🏆,BABAB,团队烈士，开团是使命,厚重坦克铠甲，手举巨盾,坚毅悲壮，眼神决绝,坚毅悲壮,#333333,#FF4444,#FFFFFF,亚索化身开团烈士，身穿黑色低多边形厚重坦克铠甲，右手举起巨大盾牌，做出冲锋姿态，表情坚毅悲壮，眼神决绝无悔，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色黑红配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
6,蹲坑混子,🐹💥💰🎯😂,BBBAB,混子中的混子，完全不知道自己该干嘛,灰色随性装束，抱着膝盖蹲着,茫然无措，眼神空洞,茫然无措,#888888,#CCCCCC,#FFFFFF,亚索蹲在角落，身穿灰色低多边形随性装束，双手抱膝蹲着，表情茫然无措，眼神空洞迷茫，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色灰白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
7,KDA战神,🦁🔒💰👊🏆,BBBAB,KDA保护协会会员，KDA比命重要,白色战士装束，手持数据面板,自信满满，眼神骄傲,自信骄傲,#FFFFFF,#FFCC00,#FF9900,亚索化身KDA战神，身穿白色低多边形战士装束，右手举起金色KDA数据面板，左手做出胜利手势，表情自信满满，眼神骄傲自豪，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色白金配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
8,远程整活怪,🐹💥✊🎯😂,BBBAB,远程整活专家，技能乱甩不送,粉色魔法师装束，手持魔法飞弹,调皮搞怪，眼神灵动,调皮活泼,#FF66CC,#9966FF,#FFFFFF,亚索化身远程整活师，身穿粉色低多边形魔法师装束，右手举起彩色魔法飞弹，左手做出发射手势，表情调皮搞怪，眼神灵动活泼，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色粉紫配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
9,操作怪,🦁🔒✊👊😂,BBBAB,操作怪，秀操作不送头,黑色刺客装束，手持双刀,专注自信，眼神锐利,专注自信,#000000,#333333,#FFFFFF,亚索化身操作大师，身穿黑色低多边形刺客装束，双手各持一把利刃，做出炫酷连招姿势，表情专注自信，眼神锐利敏锐，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色黑白配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
10,后期大核,🐹🔒💰👊🏆,BBBAB,后期大核，苟到翻盘,金色帝王装束，手持王冠,深沉稳重，眼神深邃,深沉稳重,#FFCC00,#FF9900,#FFFFFF,亚索化身后期帝王，身穿金色低多边形帝王装束，双手举起金色王冠，做出加冕姿态，表情深沉稳重，眼神深邃睿智，低多边形几何风格，矢量插画，锐利的棱角边缘，扁平色块上色，鲜艳纯色金橙配色，干净纯白背景，无文字，卡通现代感，强设计感，8K超高清，无噪点，无杂色，画面干净通透
